GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
emergency-system,com.safetynet.emergencysystem.service.medicalrecord,MedicalRecordUpdateService,37,3,2,0,9,1,2,1,1,1
emergency-system,com.safetynet.emergencysystem.service.medicalrecord,MedicalRecordDeletionService,4,9,1,1,1,3,1,2,0,2
emergency-system,com.safetynet.emergencysystem.service.medicalrecord,MedicalRecordCreationService,6,8,0,0,1,2,1,2,1,2
emergency-system,com.safetynet.emergencysystem.service.medicalrecord,MedicalRecordReadService,29,565,5,15,8,122,6,22,1,17
emergency-system,com.safetynet.emergencysystem.service.person,PersonReadService,197,315,1,1,47,66,8,14,7,14
emergency-system,com.safetynet.emergencysystem.service.person,PersonDeletionService,0,13,1,1,0,4,1,2,0,2
emergency-system,com.safetynet.emergencysystem.service.person,PersonUpdateService,4,44,1,1,1,11,1,2,0,2
emergency-system,com.safetynet.emergencysystem.service.person,PersonCreationService,0,26,0,0,0,6,0,4,0,4
emergency-system,com.safetynet.emergencysystem,EmergencySystemApplication,5,20,0,0,2,7,1,3,1,3
emergency-system,com.safetynet.emergencysystem.model,PersonWithMedicalRecords,0,24,0,0,0,10,0,7,0,7
emergency-system,com.safetynet.emergencysystem.model,PersonWithAge,0,10,0,0,0,4,0,3,0,3
emergency-system,com.safetynet.emergencysystem.model,MedicalRecord,0,45,0,0,0,19,0,13,0,13
emergency-system,com.safetynet.emergencysystem.model,JsonData,21,3,0,0,9,1,6,1,6,1
emergency-system,com.safetynet.emergencysystem.model,Person,5,141,11,11,0,30,11,19,0,19
emergency-system,com.safetynet.emergencysystem.model,FireStation,5,65,6,6,0,15,6,9,0,9
emergency-system,com.safetynet.emergencysystem.model.result,ResultChildAlert,0,17,0,0,0,7,0,5,0,5
emergency-system,com.safetynet.emergencysystem.model.result,ResultFireAlert,0,17,0,0,0,7,0,5,0,5
emergency-system,com.safetynet.emergencysystem.model.result,ResultByFireStation,0,24,0,0,0,10,0,7,0,7
emergency-system,com.safetynet.emergencysystem.controller,MedicalRecordController,15,27,0,0,3,7,3,6,3,6
emergency-system,com.safetynet.emergencysystem.controller,FireStationController,5,37,0,0,1,9,1,8,1,8
emergency-system,com.safetynet.emergencysystem.controller,PersonController,5,57,0,0,1,14,1,11,1,11
emergency-system,com.safetynet.emergencysystem.service.firestation,FireStationReadService,84,184,1,1,19,39,6,8,5,8
emergency-system,com.safetynet.emergencysystem.service.firestation,FireStationDeletionService,4,17,1,1,1,5,1,3,0,3
emergency-system,com.safetynet.emergencysystem.service.firestation,FireStationCreationService,0,26,0,0,0,6,0,4,0,4
emergency-system,com.safetynet.emergencysystem.service.firestation,FireStationUpdateService,20,20,1,1,5,5,1,3,0,3
emergency-system,com.safetynet.emergencysystem.service,JsonParseService,0,29,0,0,0,8,0,5,0,5
emergency-system,com.safetynet.emergencysystem.service,JsonReadService,0,43,0,2,0,12,0,6,0,5
